question,answer
How do I access electronic resources from off-campus?,"In order to access library subscribed electronic resources from off campus, you must be a current student, faculty or staff member.

-Students who are taking/auditing a course/courses: but are not enrolled in a degree program will NOT have access to e-resources off campus until the semester of their course officially begins. 
-Institute for Higher Learning students: do not automatically have access to Library e-resources from off campus. If you are enrolled in the institute and need off campus access to e-resources for your coursework, please contact the Institute (run by Global Initiatives); they must ask the registrar to change your status to that of a graduate student. This is done on a case by case basis and the Libraries cannot request this change on behalf of a student. 
-Project Dragonfly students: please go to http://libanswers.lib.miamioh.edu/faq/193674 for information specific to your program.
-Visiting scholars: please go to http://libanswers.lib.miamioh.edu/faq/177910 for information specific to your status.
-MU Alumni: please go to http://libanswers.lib.miamioh.edu/faq/163330 for information specific to your status.

------------------

​E-Resource Access for Non-Students

Please note that Alumni <http://libanswers.lib.miamioh.edu/faq/163330> and Affiliated Patrons <http://libanswers.lib.miamioh.edu/faq/168047> DO NOT have access to any library e-resources (including Books and More and Articles and More) unless they are on site as a walk-in user. 

Non-Miami students <http://libanswers.lib.miamioh.edu/faq/177904> and community members can use the Miami University Libraries on a walk-in basis during University business hours (M-F, 8 am - 5 pm). Walk-in users can access public computers by getting a guest pass from the Circulation or Information desk inside each of the Libraries.

If you would like to acquire Library privileges for print materials as a community member, you can sign up for an Affiliated Patron of the Libraries card by completing an application during business hours (Monday - Friday) in the Dean's Office (225 King Library) and by contributing a $25 tax deductible donation (cash or check) annually. Contact Heather Bennett for further details at (513) 529-2397 or bennethm@miamioh.edu <mailto:bennethm@miamioh.edu>. This card does NOT provide off-site access to library databases.

As an Affiliated Patron of the Libraries <http://libanswers.lib.miamioh.edu/faq/168047>, online databases and other electronic resources are available to you on site (from within a library on campus). E-resources are not available to Affiliated Patrons via remote access (from outside the library) due to license restrictions.

If you have urgent research needs and are working with or are being sponsored by a Miami University academic department, you may ask that department to request a University Courtesy Account for you. Courtesy Accounts allow you to access the Libraries' electronic resources. The Libraries cannot initiate, maintain, or renew Courtesy Account requests on your behalf; you must contact the department you are affiliated with and the Department's Dean or Department Chair will request or renew an account <https://miamioh.teamdynamix.com/TDClient/Requests/ServiceDet?ID=9046> through IT Services for you.
------------------

All current faculty and students are strongly encouraged to access library e-resources through the links found by searching in thelibrary catalog <http://holmes.lib.miamioh.edu/search/>, A to Z lists <http://proxy.lib.miamioh.edu/login?url=http://search.ebscohost.com/login.aspx?profile=pfi>, and LibGuides <http://libguides.lib.miamioh.edu/>. Using links found in these locations ensures that you will be able to access resources whether you are on or off campus.

Note that Miami's VPN NO LONGER provides off-campus access to library resources. You must use a proxied link found through one of the sources above in order to access e-resources while off campus.
------------------

Proxy Server and Links

-MUL e-resources can be accessed by off-campus students, faculty and staff via the Library’s proxy server.
-The proxy prefix is http://proxy.lib.miamioh.edu/login?url=
-You can add the proxy prefix to any subscribed e-resource link to ensure off-campus access.
-Example of a proxied link: http://proxy.lib.miamioh.edu/login?url=http://www.jstor.org/stable/10.5951/mathteacher.108.5.0376


Proxy Errors

If you identify a proxied link that does not work from off-campus, please notify Rich Wisneski <mailto:wisnesr@miamioh.edu?subject=ezproxy%20error>.
------------------

Re-Direct URLs

Re-direct URLs found in Databases A to Z <http://www.lib.miamioh.edu/databases> and the Online Resources A to Z LibGuide <http://libguides.lib.miamioh.edu/az.php> that begin with http://www.lib.miamioh.edu/indexes/redirect/ do NOT require the proxy prefix.

These URLs automatically push patrons through proxy authentication without the prefix."
Google Scholar search box on library website not working for off campus users,"The Google Scholar search box on the library website is set up to authenticate off campus users so that they can view Miami University Libraries' full text subscription holdings. Google Scholar sometimes interprets this off campus access as an ""unusually high amount of traffic"" and then blocks access for several days.
 
The Libraries are working on a solution but until we can address that issue, the best workaround is to go straight to Google Scholar online (instead of through the library's website) at https://scholar.google.com <https://scholar.google.com/>.
 
If you are seeing the following error when using Google Scholar:

Try the following workaround:

-Go to https://scholar.google.com <https://scholar.google.com/>.
-Click the Menu icon in the top left next to ""Google Scholar"".
-Click Settings.
-Click Library Links.
-Type Miami University into the search box and hit enter.
-Check the box next to ""Miami University Libraries - Find It @MiamiOH"".
-Click Save.







This will allow you to continue seeing the ""Find it @MiamiOH"" link on Google Scholar search results even if you haven't authenticated through the library website.
 "
How do I play a laserdisc or VHS tape?,"The Libraries' collections include films in a variety of physical formats: DVDs, VHS tapes, and laserdiscs. Equipment to play videos in these formats is located in King Library's Instructional Materials Center (IMC) on the ground floor of King. The IMC has 2 VHS/DVD players and a laserdisc player.

You can tell which format a video in the catalog is by checking the ""physical description"" field:

Laserdisc

[Image: laserdisc]
------------------

VHS Tape

[Image: VHS]
------------------

DVD

[Image: DVD]

 "
How do I print in the Libraries?,"Instructions for printing in the Libraries (King, Music, Art and Architecture) can be found online at https://www.lib.miamioh.edu/use/technology/printing/.

-Cost per page: $.10 for black and white / $.25 for color
-Students pay for printing through their MUlaa account using their student ID. You can use the Value Transfer Stations at King Library to add money to your account.
-General information about Pay-for-Print on campus is available online at https://miamioh.teamdynamix.com/TDClient/Requests/ServiceDet?ID=4630.
-Other on campus Pay-for-Print locations can be found online at https://miamioh.teamdynamix.com/TDClient/KB/ArticleDet?ID=20960.


NOTE: As of July 1, 2010, CIM no longer offers large format printing. CIM will still be a location where students can create posters, however printing will be handled by IT Services Print Center in Shriver. See the Print Center site <http://miamioh.edu/printing/> for more information."
Where can I access Miami University theses and dissertations online?,"Theses and dissertations at Miami are submitted to the graduate school, who in turn submits them to the OhioLink Electronic Theses and Dissertation center; the library is not involved in this process. 

--------------------------------------------

Miami University theses and dissertations submitted from 2001 through the present can be searched, browsed, and accessed via the OhioLINK Electronic Theses and Dissertations (ETD) Center <https://etd.ohiolink.edu/>. ETDs can be searched by keyword and/or browsed by institution and department or author's last name.

The ETD Center is a free, online database of Ohio's undergraduate, masters and doctoral theses and dissertations from participating OhioLINK member schools. It contains the abstract for all included theses and dissertations. The full-text is also available if it was submitted. The ETD Center is freely accessible worldwide to anyone interested in searching, viewing, and downloading the theses and dissertations published in Ohio. Using a standard Web browser, users can search the database using basic keyword searching. Authors, university affiliation, and abstracts are all indexed.

Additional information about the OhioLINK ETD Center for patrons and authors can be found in OhioLINK's ETD Center FAQ <https://etd.ohiolink.edu/f?p=1501:2:210137100109950>.

Some (but not all) Miami University dissertations may also be searched in ProQuest's Dissertations and Theses database <https://libguides.lib.miamioh.edu/proquest-dissertations-and-theses-open> online. Note that this ProQuest database only provides indexing and abstracts. Most dissertations found here will require you to pay a fee to access the full text. "
How are measures of central tendency affected by the shape of the data?,"Common measures of central tendency <https://libanswers.lib.miamioh.edu/stats-faq/faq/335866/?m=p> are the mean, median, and mode. The mode of the data is affected by the number of peaks in the distribution. Multiple peaks in the data result in multiple modes. While the number and location of the peaks have some impact on the mean and median, these estimators are also affected by whether or not the data is skewed.

Skew refers to whether or not the data is symmetrical. If the data is right-skewed (positive skew) it has a tail on the right side, and if the data is left-skewed (negative skew) it has a tail on the left side. If the data is not left- or right-skewed, it is symmetrical.

If the data is relatively symmetrical, the mean and median will produce similar estimates of the center. However, the graphs below show that when the distribution is skewed, the mean is pulled further in the direction of the tail than the median. For this reason, the median is often a more useful estimator of center when the distribution is heavily skewed or there are extreme outliers in the data.

[Image: three graphs of positive skew, symmetry, and negative skew. In all three graphs, the mode is at the highest point of the distribution. In the graph where a right (positive) skew is present, the mean is slightly further to the right whereas the median is closer to the peak and is in the center of the distribution. In the graph of the symmetrical distribution, the mode, median, and mean all share the same estimate in the highest and most centered point in the distribution. In the last graph where a negative (left) skew is present, the mean is closer to the left side of the distribution, and the median is between the mean on the mode at the center of the distribution.]"
What is the difference between correlation and causation?,"Correlation establishes that a relationship exists between two variables, while causation means that one event results in the occurrence of the other event. In other words, causation is a stronger statement than correlation, and correlation does not always result in causation.

Suppose you are a statistician studying the relationship between monthly ice cream sales and pool drownings. You notice that both variables increase during the summer months and are therefore correlated. Does this mean that eating ice cream causes people to drown in pools? Of course not! The increase in both variables can be more reasonably explained by warmer temperatures in the summer.

This example highlights the biggest challenge with causation. When you use observational studies (i.e. data collected in the “real world”), there are a lot of hidden factors outside of your control that can affect the results. This makes it challenging to say one event causes another. The best way to show causation is through a designed experiment where you can control all of the factors except the variables of interest. However, this is not always possible and more often than not we have to rely on observational data."
Why can't I view PDFs in EBSCO?,"Some users of Macintosh OSX may have trouble opening PDF files in EBSCO databases, catalogs, and e-books. Files may be downloaded or opened as "".asp"" files instead of "".pdf"" files. Users may open these "".asp"" files using Adobe Acrobat Reader using ""File"" and ""Open"", or they may rename the file with a "".pdf"" file extnesion.

There is a more efficient method that will accomplish the same result as the above. To set up a Macintosh to automatically open a PDF:
-
Download the PDF onto your computer desktop.

-
Select it by clicking on the downloaded file once.

-
Go to File>Get Info.

-
Under Open With select Preview (default) or Adobe Reader.

-
Click on Change All so that it will always open with Preview or Reader automatically, without requiring that the above steps be followed each time."
How do I get access to the New York Times online?,"For the most up to date instructions, please refer to the Newspapers Research Guide <https://libguides.lib.miamioh.edu/newspapers>, which has a page dedicated to the New York Times <https://libguides.lib.miamioh.edu/newspapers/nyt>."
How can I find peer reviewed journal articles?,"There are many ways to determine if a journal or journal article is peer reviewed. Below are two ways to get you started:

If you don't yet have a journal or article in hand:
-Start at the Libraries' Articles & More <http://proxy.lib.miamioh.edu/login?url=http://search.ebscohost.com/login.aspx?authtype=ip&profile=eds> selection on the main page's search box.
-Type your keywords or subjects into the search box and press enter.
-On the Search Results page, look for the ""Limit To"" area on the left side of the results.
-Check the box next to ""Limit to Peer Reviewed Journals"".
-The Search Results will re-populate with results that are from peer-reviewed journals.

[Image: Peer reviewed limiter in Articles and More]
------------------

If you already have a journal or article in hand:
-Go to Ulrich's Periodicals Directory at http://www.lib.miamioh.edu/indexes/redirect/808.
-Type the title of the journal (NOT the title of the article) into the search box.
-In the Search Results list, click on the journal title you are interested in.
-In the ""Basic Description"" section of the record, look for the ""Refereed"" row, which will indicate ""Yes"" (peer reviewed) or ""No"" (not peer reviewed).

[Image: Ulrich's Periodicals Directory refereed]

 "
What library privileges do I have as a Miami alumni?,"Graduating students: access to online resources ends 45 days after graduation.

Access to the Miami University Libraries' online resources ends when you are no longer a current student, staff, or faculty member.

Other Options

-Miami University alumni may obtain an Affiliated Patrons of the Libraries card by completing an application during business hours (Monday - Friday) in the Dean's Office (225 King Library) and by contributing a $25 tax deductible donation (cash or check) annually. Contact Heather Bennett for further details at (513) 529-2397 or bennethm@miamioh.edu <mailto:bennethm@miamioh.edu>. This card allows you to check out print and other tangible materials from the Libraries. This card does NOT provide off-site (remote) access to library databases due to license restrictions. Online databases and other electronic resources are available to you only while on site (from within a library on campus).
-If you have urgent research needs after graduation and are working with or are being sponsored by a Miami University academic department, you may ask that department to request a University Courtesy Account for you. Courtesy Accounts allow you to access the Libraries' electronic resources. The Libraries cannot initiate, maintain, or renew Courtesy Account requests on your behalf; you must contact the department you are affiliated with and the Department's Dean or Department Chair will request or renew an account <https://miamioh.teamdynamix.com/TDClient/Requests/ServiceDet?ID=9046> through IT Services for you.
-Check with your local public library to see what resources they provide."
What are common measures of central tendency (center) in statistics?,"Three common measures of central tendency (center) used in statistics are mean, median, and mode.

The mean is the average value of the data. The sample mean \(\bar{y}\) is found by adding all of the values in the dataset together and then dividing by the number of observations. It is represented mathematically using the formula below. Each \(y_i\) represents a value in a dataset with n observations.

\[ \bar{y}=\frac{1}{n}\sum_{i=1}^{n}y_i \]

The median is the middle value in the data. It is also referred to as the 50th percentile because 50 percent of the data is less than the median. The sample median is found by ordering the data values from least to greatest and finding the middle value. If given the dataset {0, 3, 2, 4, 5, 1, 6}, the median value of 3 could be found by rewriting the data as 0, 1, 2, 3, 4, 5, 6.

Mode is the most frequent observation in the dataset. The mode is found by counting how many times each unique observation occurs in the dataset. Mode is used less in practice than mean and median, because it is possible to get more than one value for the mode.

[Image: Three graphs of unimodal, bimodal, and multimodal distributions, where the unimodal distribution has one peak, the bimodal distribution has two peaks, and the multimodal distribution can have three or more peaks.]"
What newspapers does the library subscribe to?,"The Libraries subscribe to a variety of newspapers in both print and electronic format.

Print newspapers may be found on the ground floor of King Library in the IMC:

-Barron's
-Chicago Tribune
-Christian Science Monitor
-Cincinnati Enquirer
-Cincinnati Herald
-Columbus Dispatch
-Dayton Daily News
-Jen Min Jih Pao (People's Daily)
-Journal News
-Miami Student
-Monde
-New York Times (most recent issues behind King Circ Desk)
-Nezavisimaia Gazeta
-Oxford Press
-Plain Dealer
-Presse
-Sunday Times
-Times
-Wall Street Journal
-Washington Post
-Zeit


The library also offers online access to a variety of newspapers, including:

-Chicago Tribune Historical <http://www.lib.miamioh.edu/indexes/redirect/790> (1849-1991)
-Chronicle of Higher Education <http://www.lib.miamioh.edu/indexes/redirect/523> (current)
-Cincinnati Enquirer <http://www.lib.miamioh.edu/indexes/redirect/1324> (2010-present) & Cincinnati Enquirer Historical <http://www.lib.miamioh.edu/indexes/redirect/1317> (1841-2009)
-New York Times <http://www.nytimes.com/grouppass> (current) & New York Times Historical <http://www.lib.miamioh.edu/indexes/redirect/791> (1851-3 years ago)
-Times Digital Archive <http://www.lib.miamioh.edu/indexes/redirect/520> (1785-2010)
-Wall Street Journal <http://www.lib.miamioh.edu/indexes/redirect/1325> (2008-present) & Wall Street Journal Historical <http://www.lib.miamioh.edu/indexes/redirect/1316> (1889-18 years ago)
-Washington Post Historical <http://www.lib.miamioh.edu/indexes/redirect/1014> (1877-1998)


Please see the Databases A-Z <http://www.lib.miamioh.edu/databases> for more links and/or the Newspapers Guide <http://libguides.lib.miamioh.edu/newspapers> for more information."
Can non-Miami students use the Miami University Libraries?,"Non-Miami students, community members, and Miami retirees can use the Miami University Libraries on a walk-in basis when the Libraries are open. Walk-in users can access public computers by getting a guest pass from the Circulation Desk inside each of the Libraries.

If you would like to use the Libraries as a community member, you can contact the circulation desk about Affiliated Patron of the Libraries card at (513) 529-4141.

This card does NOT provide off-site access to library databases due to license restrictions, or to K-12 textbooks."
Does the library provide notary services?,"Notary public services are typically available through the first floor circulation desk Monday through Friday from 9:00 AM to 5:00 PM.

For questions or to arrange a specific time, call King Library Circulation (first floor) at (513) 529-4141."
How do I renew my books?,"A list of books checked out can be viewed and renewed on the Checkouts & Renewals page available on the Libraries' website at https://holmes.lib.miamioh.edu/patroninfo.html. Log in and follow the instructions.



 

You can also renew books at any library on campus at the Circulation Desk."
How do I reserve a study room?,"Reserve a study room online at http://www.lib.miamioh.edu/schedule-select.

Pick up study room keys at the circulation/information desk of each library.

This Room Reservation system allows any Miami student, faculty, or staff member to reserve rooms in King, Art & Architecture Libraries, Makerspace, AV Production Lab, and Armstrong Student Center study rooms. Log in from wherever you happen to be and schedule a room. Study rooms are an excellent options for quiet study with a partner or for group work. Study rooms are also equipped with technology to make your group work easier. 

Basic Guidelines

-Individuals or groups may only schedule up to 2 hours each day.
-You can schedule a room up to 2 weeks in advance.
-Study room keys are checked out to the individual who reserved the room for 2 hours; if you hand off the key to the next scheduled individual or group for your study room, the next individual or group MUST go to the circulation desk and get the key checked out to them. If you don't do this, whoever checked out the key first will incur a fine.


Note: Library classrooms and internal meeting spaces are generally reserved for use by Library staff only."
Does the Miami University bookstore buy back textbooks?,"Yes, the Miami University bookstores on all three campuses buy back books at the end of each semester. Information can be found online at http://www.mubookstore.miamioh.edu/site_buyback_info.asp."
How do I access Lynda.com?,"The MU Libraries do not have a subscription to Lynda.com. However, the state of Ohio provides this resource <https://www.ohioweblibrary.org/lynda/> to every resident with a library card. 

The university provides access to Infobase Learning Cloud <https://miamioh.edu/hoonuit?_ga=2.246574212.1803949952.1629717385-1995590160.1612963037>, (formerly Hoonuit  and before then, Atomic Learning), which provides resources that are similar to those offered by Lynda.com. Infobase Learning Cloud can be accessed by Miami University faculty, students, and staff."
"Can Miami faculty, staff, and students get Microsoft Office from the university?","Microsoft Office is available <https://miamioh.teamdynamix.com/TDClient/Requests/ServiceDet?ID=8713>, at no charge, to faculty, staff, and students through an agreement between Miami and Microsoft. This agreement allows you to install Office Pro Plus on up to 15 devices (five computers, five tablets, and five mobile devices). 
-Follow this link <https://portal.office.com/OLS/MySoftware.aspx> to Miami's Microsoft portal to get Office Pro Plus for Mac or PC
-Log in with your Miami email address and myMiami password
-Your username for this service is your full Miami University email address


-Follow the prompts to download and install Office

Important Note: The license for Office Pro Plus will work as long as you are considered an active student or employee, and for approximately one year after you leave Miami. Your computer must occasionally check into a license server over the Internet, or it will temporarily expire until you have a working Internet connection."
Where can I get help with statistics?,"You can find help at the Stats Help Desk.

This is a virtual service, which had previously been available at B.E.S.T. library.

Please refer to the Stats Desk Homepage <https://libguides.lib.miamioh.edu/stats-help> for more information, including hours or operation and to start a live help session."
Where can I park on campus?,"Miami University (Oxford) has two parking garages and approximately 100 parking meters on campus which do not require a parking permit for use. Garage and meter fees must be paid for the time parked at either type facility.

A parking permit is required to park on Miami University's campus and the streets which run through or adjoin campus at all times unless otherwise noted.

All of Miami's parking areas are color-coded based on parking privilege:

-RED areas - surface lots on campus in the area of academic and administrative buildings
-BLUE areas - surface lots on campus in the area of residence halls for students
-WHITE areas - remote lots for university employees and visitors
-YELLOW areas - remote/holding lots for students


The area in which a vehicle may park is determined by the color of its parking permit; it may also park in areas which are listed below its color in the list above.

An Oxford campus parking map is available online at http://miamioh.edu/_files/documents/parking/2016-17-parking-map.pdf.

Contact Miami University Parking and Transportation Services <http://miamioh.edu/parking/> with specific questions."
What is the difference between a parameter and a statistic?,"A parameter is a number that describes a population. For example, the true mean age of women in the United States is a parameter. The primary issue with parameters is that they are almost always unknown. To get the true mean age of all women in the United States right now (i.e. the population parameter), you would need to have records of every person in the population.

A statistic is a number that describes a sample. For example, the sample mean age of women in the U.S. calculated from a survey of 1,000 members of that population. The primary goal of collecting sample statistics is to make inferences about the population."
What is Interlibrary Loan (ILL)?,"Interlibrary Loan (ILL) is available to all students, staff and faculty at Miami. (Sorry, this service is not available to Affiliated Patrons of the Libraries). Books, theses, dissertations, patents, and journal or newspaper articles that are not owned by Miami or any other OhioLINK institution can be ordered through ILL.

Place online requests by using the electronic request form found at https://ill.lib.miamioh.edu/illiad/logon.html. Even though patrons are not charged for using ILL services, the Libraries absorb costs of at least $10.00 per request (this is particularly true for certain journals who levy high per-article copyright fees).

Please be aware that some items requested by ILL take 3 weeks or longer to arrive. Failure to return materials by the due date may result in suspension of library privileges and whatever fines might be levied by the lending library. More information is available from the ILL Request Form <https://ill.lib.miamioh.edu/illiad/logon.html>."
Where on campus can I return library books?,"You can return Miami University Library books to the circulation desk at any library location in Oxford (King, Music, Art/Architecture) or on the regional campuses in Hamilton (Rentschler Library) and Middletown (Gardner Library). Book drops are also available outside of the Art/Architecture and Music Libraries, at the rear of King Library, and at the west entrance of the Armstrong Student Center.

Digital equipment and other technology items should be returned to the same library/desk where you checked it out from."
How do I cancel a study room?,"To cancel your study room reservation, please follow the link provided in the confirmation email. 

If you’re having difficulty call Circulation at 513-529-2433.
 "
